nom,id
Pont de Chateaudun,1514
Pont de l'Ise,1093
Pont de Nantes,3218
Pont de Nantes Ev,1516
Pont de Strasbourg,1094
Pont du Gue,3102
Pont Harel,1512
Pont-Pean Mairie,1087
Pont-Rean,1504
Pontay,1074
Pontchaillou,1499
Portail,1075
Porte de Ker-Lann,3173
Potiers,1490
Pressoirs,1067
Prieure Forge,3167
Provence,1484
Pre Garel,1069
Pre Hervy,1480
Prefecture - ESC,1071
Pres Verts,3142
Patis,1066
Patis du Moulinet,3143
Patis Roussel,1483
Patis Tatelin,1049
Patis Tatelin Ev,3141
Quatre Vents,1477
Rabine,3133
Rablais Allende,1466
Raison,1039
Rectorat,3119
Redon,1041
Renaissance,3123
Renan,1465
Renaudais,1042
Rennes Mairie,1457
Reuzerais,1035
Ricoquais,1461
Rigourdiere,1036
Rivaudiere,3112
Rive Ouest,1456
Roazhon Park,1019
Robidou,3109
Robinot de St-Cyr,3602
Robiquette,1437
Rocade Sud,1014
Roche Marguerite,3605
Rochers,1440
Rochester,1009
Roger Dodin,3617
Romille College,1441
Romille Mairie,1010
Romille Pigeon Blanc,4801
Ronceray,4804
Rond Point de Bray,1412
Rosa Parks,1006
Rossel,9154
Rouaudiere,1405
Rouesnais Nord,1407
Rouesnais Sud,2401
Rue de Montfort,9142
Rue de Pace,9106
Recipon,2453
Republique,9112
Residence Janais,9115
Sacres Coeurs,1386
Saint-Armel Eglise,9086
Saint-Armel Gare,2430
Saint-Conwoion,1383
Saint-Exupery,2428
Saint-Gilles Centre,1381
Saint-Hubert,2413
Saint-Laurent,1374
Saint-Martin,2408
Saint-Melaine,1375
Saint-Roch,1376
Saint-Saens,2404
Saint-Vincent,1370
Saint-Yves,1681
Sainte-Anne,1359
Sainte-Therese,1668
Salle de Sports,1347
Salmondiere,2504
Saules,1669
Sauvaie,1353
Schuman,2534
Sept Fours,1671
Serpette,1356
Servigne,2537
Silandiere,1339
Solidor,2523
Sorinais,1659
Sports et Nature,1326
Sports et Nature Ev,2524
Square de la Rance,1661
St-Jacques Mairie,1322
Stade Dezerseul,2526
Surcouf,1656
Suede,2521
Senestrais,1648
Sevigniere,2522
Sevigne,1640
Taillebois,1302
Taillis,2516
Teillais,1304
Terrain des Sports,1634
Terseul,1294
Tertre,2506
Thabor,1297
Thorigne Mairie,2508
